State,Library ID,Submission Year,Library Name,Street Address,City,Zip Code,Longitude,Latitude,State Code,County Code,County,County Population,Public Library Definition,Legal Basis,Administrative Structure,Interlibrary Relationship,Service Population,Service Population Without Duplicates,Central Libraries,Branch Libraries,Bookmobiles,MLS Librarians,Librarians,Employees,Total Staff,Local Government Operating Revenue,State Government Operating Revenue,Federal Government Operating Revenue,Other Operating Revenue,Total Operating Revenue,Salaries,Benefits,Total Staff Expenditures,Print Collection Expenditures,Digital Collection Expenditures,Other Collection Expenditures,Total Collection Expenditures,Other Operating Expenditures,Total Operating Expenditures,Local Government Capital Revenue,State Government Capital Revenue,Federal Government Capital Revenue,Other Capital Revenue,Total Capital Revenue,Total Capital Expenditures,Print Collection,Digital Collection,Audio Collection,Downloadable Audio,Physical Video,Downloadable Video,Local Cooperative Agreements,State Licensed Databases,Total Licensed Databases,Print Subscriptions,Hours Open,Library Visits,Reference Transactions,Registered Users,Circulation Transactions,Interlibrary Loans Provided,Interlibrary Loans Received,Library Programs,Children’s Programs,Young Adult Programs,Library Program Audience,Children’s Program Audience,Young Adult Program Audience,Public Internet Computers,Internet Computer Use,Wireless Internet Sessions,Start Date,End Date
IA,IA0475,2015,LOST NATION PUBLIC LIBRARY,410 MAIN ST,LOST NATION,52254,-90.8181864,41.9630368,19,45,CLINTON,48051,Y,CI,SO,ME,851,839,1,0,0,0,0.35,0.15,0.5,9654,1173,0,4827,15654, , , ,2033,0,300,2333, ,16322,0,0,0,0,0,0,6923,0,56,0,454,0,0,0,0,29,1144,5679,156,308,5085,28,29,82,24,1,1167,675,38,2,2288,1248,07/01/2013,06/30/2014
IA,IA0476,2015,TIPTON PUBLIC LIBRARY,206 CEDAR ST,TIPTON,52772,-91.1283684,41.7663863,19,31,CEDAR,18411,Y,CI,SO,ME,6159,6070,1,0,0,0,1.26,0.5,1.76,201222,3115,0,38341,242678, , , ,21953,590,6000,28543, ,189529,0,0,0,0,0,0,17175,8200,305,4080,995,0,0,17,17,39,2600,25220,780,1977,45610,412,346,156,124,15,5872,4966,518,10,6456,815,07/01/2013,06/30/2014
IA,IA0477,2015,EDNA ZYBELL MEMORIAL LIBRARY,309 6TH AVE,CLARENCE,52216,-91.0563624,41.8885235,19,31,CEDAR,18411,Y,CI,SO,ME,1275,1257,1,0,0,0,0.65,0,0.65,57349,1366,0,1352,60067, , , ,5955,73,1812,7840, ,41337,0,0,0,50238,50238,0,9649,0,71,0,1057,0,0,14,14,15,1520,11005,148,747,10973,5,27,10,8,1,615,600,5,7,3944,104,07/01/2013,06/30/2014
IA,IA0478,2015,MECHANICSVILLE PUBLIC LIBRARY,218 E 1ST ST,MECHANICSVILLE,52306,-91.2541521,41.9043493,19,31,CEDAR,18411,Y,CI,SO,ME,2603,2565,1,0,0,0,1.03,0.1,1.13,47218,1592,0,8599,57409, , , ,4214,410,1869,6493, ,57328,0,0,0,980,980,980,8570,8200,221,4080,1257,0,2,17,19,20,1638,10247,147,790,17323,89,235,40,16,10,597,407,53,6,2158,393,07/01/2013,06/30/2014
IA,IA0479,2015,STANWOOD PUBLIC LIBRARY,202 E BROADWAY,STANWOOD,52337,-91.1507367,41.8927705,19,31,CEDAR,18411,Y,CI,SO,ME,728,718,1,0,0,0,0.58,0.05,0.63,27127,4177,0,3541,34845, , , ,3152,59,1224,4435, ,28841,27126,3041,0,4309,34476,0,6705,0,408,0,927,0,0,17,17,0,1196,7942,722,357,3425,35,21,2,2,0,30,30,0,7,1476,-1,07/01/2013,06/30/2014
IA,IA0480,2015,CURTIS MEMORIAL LIBRARY,116 S MAIN ST,WHEATLAND,52777,-90.8385042,41.8333028,19,45,CLINTON,48051,Y,CI,SO,ME,909,896,1,0,0,0,0.6,0.35,0.95,29967,1226,0,1287,32480, , , ,5242,63,721,6026, ,38241,0,0,0,0,0,0,10254,0,274,0,261,0,0,16,16,12,1904,4250,38,308,3510,12,108,23,16,5,321,299,7,3,1019,193,07/01/2013,06/30/2014
IA,IA0481,2015,NORELIUS COMMUNITY LIBRARY,1403 1ST AVE SOUTH,DENISON,51442,-95.3536519,42.015609,19,47,CRAWFORD,17228,Y,CI,SO,ME,12691,12508,1,0,0,0,5.54,0.25,5.79,237780,6060,0,28532,272372,167484,75433,242917,24999,3706,4427,33132,53000,329049,0,1740,0,0,1740,1740,50776,15552,2978,8189,2417,0,1,17,18,106,3120,94897,5571,5310,51390,553,751,218,133,2,5008,3715,15,21,14766,2735,07/01/2013,06/30/2014
IA,IA0483,2015,SCHLESWIG PUBLIC LIBRARY,202 CEDAR ST,SCHLESWIG,51461,-95.4365893,42.1653512,19,47,CRAWFORD,17228,Y,CI,SO,ME,882,869,1,0,0,0,0.3,0.15,0.45,25028,0,0,4549,29577, , , ,5893,995,473,7361, ,25507,1798,0,0,2000,3798,2276,6643,55,126,10,814,0,0,0,0,24,936,1809,15,285,3209,0,0,11,1,0,295,25,0,2,40,-1,07/01/2013,06/30/2014
IA,IA0484,2015,CHARTER OAK PUBLIC LIBRARY,461 RAILROAD ST,CHARTER OAK,51439,-95.5924813,42.0698617,19,47,CRAWFORD,17228,Y,CI,SO,ME,623,614,1,0,0,0,0.28,0,0.28,7086,379,0,891,8356, , , ,433,50,113,596, ,7425,0,0,0,250,250,0,929,0,4,0,736,0,0,16,16,1,572,1133,552,168,2806,0,7,25,25,0,264,264,0,1,128,0,07/01/2013,06/30/2014
IA,IA0485,2015,DUNLAP PUBLIC LIBRARY,102 S 10TH ST,DUNLAP,51529,-95.5962668,41.8543032,19,85,HARRISON,14324,Y,CI,SO,ME,1042,1027,1,0,0,0,1,0,1,41352,826,0,50,42228, , , ,10555,393,2716,13664, ,41476,0,0,0,0,0,0,26015,15552,201,8189,1827,0,1,13,14,63,2080,7778,327,742,15707,0,65,10,10,0,437,437,0,4,1300,0,07/01/2013,06/30/2014
