Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
0,ADULT,16,21,45 to 54 years,P7,Potrero,October,2014,z,email,true,2011,false,4
0,ADULT,25,0,55 to 59 years,E9,Excelsior,March,2014,a,print,false,2010,false,1
0,ADULT,518,143,25 to 34 years,X,Main Library,November,2012,z,email,true,2008,false,1
3,SENIOR,0,0,65 to 74 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,true,
3,SENIOR,0,0,65 to 74 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,true,
3,SENIOR,0,0,65 to 74 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,true,
0,ADULT,10,3,25 to 34 years,G6,Golden Gate Valley,August,2015,z,email,true,2014,false,2
0,ADULT,3,0,35 to 44 years,P3,Parkside,January,2015,z,email,true,2014,false,8
0,ADULT,48,28,20 to 24 years,V3,Visitacion Valley,January,2016,z,email,true,2014,true,
0,ADULT,263,37,45 to 54 years,X,Main Library,January,2014,p,phone,false,2003,false,10
0,ADULT,88,29,55 to 59 years,P1,Park,June,2016,z,email,true,2008,false,5
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2012,false,2
4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2012,false,2
3,SENIOR,1227,381,65 to 74 years,I5,Ingleside,July,2016,z,email,true,2003,false,7
0,ADULT,2,1,25 to 34 years,X,Main Library,April,2014,z,email,true,2014,false,9
3,SENIOR,12,0,65 to 74 years,S7,Sunset,November,2013,z,email,true,2009,false,4
0,ADULT,10,5,25 to 34 years,R3,Richmond,July,2016,z,email,true,2015,true,
0,ADULT,0,0,60 to 64 years,B4,Bernal Heights,None,None,z,email,true,2014,false,8
4,WELCOME,2,0,20 to 24 years,I5,Ingleside,April,2013,z,email,true,2012,false,7
0,ADULT,77,20,55 to 59 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2003,false,8
0,ADULT,17,0,35 to 44 years,X,Main Library,February,2013,z,email,true,2003,false,6
0,ADULT,226,174,45 to 54 years,A5,Anza,June,2016,z,email,true,2010,false,1
0,ADULT,1991,2811,45 to 54 years,P3,Parkside,July,2016,z,email,true,2003,false,4
0,ADULT,46,2,20 to 24 years,S7,Sunset,March,2015,z,email,true,2012,true,
0,ADULT,2190,85,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,6
3,SENIOR,609,0,65 to 74 years,R3,Richmond,May,2016,p,phone,false,2011,false,1
0,ADULT,14,0,45 to 54 years,X,Main Library,August,2015,z,email,true,2015,false,5
0,ADULT,1,0,45 to 54 years,I5,Ingleside,December,2013,z,email,true,2010,false,7
0,ADULT,15,0,25 to 34 years,B2,Bayview/Linda Brooks-Burton,January,2014,z,email,true,2013,false,10
0,ADULT,3,3,35 to 44 years,N6,North Beach,March,2016,z,email,true,2014,false,3
0,ADULT,10,0,60 to 64 years,YJJ,Children's Bookmobile,May,2013,p,phone,false,2006,false,
0,ADULT,9,10,45 to 54 years,P3,Parkside,March,2013,z,email,true,2012,false,4
0,ADULT,38,8,35 to 44 years,R3,Richmond,March,2012,z,email,true,2003,true,
0,ADULT,225,161,60 to 64 years,W2,West Portal,January,2014,z,email,true,2006,false,7
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,P1,Park,None,None,a,print,false,2015,false,
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,P1,Park,None,None,a,print,false,2015,false,
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,P1,Park,None,None,a,print,false,2015,false,
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,P1,Park,None,None,a,print,false,2015,false,
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,P1,Park,None,None,a,print,false,2015,false,
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,P1,Park,None,None,a,print,false,2015,false,
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,P1,Park,None,None,a,print,false,2015,false,
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,P1,Park,None,None,a,print,false,2015,false,
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,P1,Park,None,None,a,print,false,2015,false,
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,P1,Park,None,None,a,print,false,2015,false,
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,P1,Park,None,None,a,print,false,2015,false,
16,DIGITAL ACCESS CARD,0,0,25 to 34 years,P1,Park,None,None,a,print,false,2015,false,
0,ADULT,84,3,25 to 34 years,E9,Excelsior,April,2014,z,email,true,2008,false,
0,ADULT,24,25,25 to 34 years,X,Main Library,April,2015,z,email,true,2010,false,5
0,ADULT,2,0,25 to 34 years,W2,West Portal,September,2013,z,email,true,2013,false,7
0,ADULT,4,0,45 to 54 years,I5,Ingleside,August,2014,p,phone,true,2012,false,11
0,ADULT,440,136,55 to 59 years,P9,Presidio,July,2016,z,email,true,2003,false,2
4,WELCOME,1,0,25 to 34 years,M8,Mission Bay,May,2015,z,email,true,2014,false,6
0,ADULT,53,2,20 to 24 years,A5,Anza,September,2014,z,email,true,2012,false,1
3,SENIOR,2,0,65 to 74 years,W2,West Portal,September,2013,z,email,true,2010,false,7
0,ADULT,2,0,55 to 59 years,E7,Eureka Valley/Harvey Milk Memorial,January,2013,p,phone,false,2012,false,4
0,ADULT,102,160,35 to 44 years,M6,Mission,November,2015,z,email,true,2005,false,10
0,ADULT,4,8,25 to 34 years,C2,Chinatown,June,2016,z,email,true,2016,false,6
0,ADULT,32,31,35 to 44 years,X,Main Library,January,2016,z,email,true,2008,true,
0,ADULT,11,7,25 to 34 years,X,Main Library,July,2016,z,email,true,2016,false,6
3,SENIOR,0,0,65 to 74 years,B4,Bernal Heights,None,None,z,email,true,2012,false,9
3,SENIOR,0,0,65 to 74 years,B4,Bernal Heights,None,None,z,email,true,2012,false,9
3,SENIOR,0,0,65 to 74 years,B4,Bernal Heights,None,None,z,email,true,2012,false,9
0,ADULT,3,0,55 to 59 years,G6,Golden Gate Valley,February,2015,z,email,true,2015,true,
0,ADULT,22,0,35 to 44 years,X,Main Library,July,2016,z,email,true,2016,false,3
0,ADULT,31,0,45 to 54 years,O7,Ortega,August,2012,z,email,true,2003,false,4
0,ADULT,54,108,25 to 34 years,M6,Mission,May,2016,z,email,true,2014,false,
0,ADULT,68,1,55 to 59 years,X,Main Library,December,2011,p,phone,false,2009,false,9
0,ADULT,1037,784,35 to 44 years,M6,Mission,July,2016,z,email,true,2004,false,
3,SENIOR,719,187,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,
0,ADULT,57,0,45 to 54 years,X,Main Library,March,2016,p,phone,false,2014,true,
3,SENIOR,14,1,65 to 74 years,G4,Glen Park,September,2014,z,email,true,2011,false,
0,ADULT,307,84,45 to 54 years,X,Main Library,August,2013,z,email,true,2012,true,
0,ADULT,36,1,25 to 34 years,X,Main Library,July,2016,z,email,true,2008,false,10
3,SENIOR,613,367,65 to 74 years,M4,Merced,July,2016,p,phone,false,2003,false,5
0,ADULT,10,14,25 to 34 years,X,Main Library,April,2016,z,email,true,2015,false,5
0,ADULT,3,0,25 to 34 years,X,Main Library,October,2015,a,print,false,2015,false,6
0,ADULT,208,52,20 to 24 years,O7,Ortega,July,2016,z,email,true,2003,false,4
0,ADULT,211,71,25 to 34 years,X,Main Library,April,2016,z,email,true,2008,false,4
0,ADULT,11,6,25 to 34 years,N4,Noe Valley/Sally Brunn,February,2016,z,email,true,2014,false,8
0,ADULT,1,0,25 to 34 years,I5,Ingleside,March,2016,z,email,true,2016,false,11
0,ADULT,1,0,25 to 34 years,I5,Ingleside,March,2016,z,email,true,2016,false,11
0,ADULT,2,0,20 to 24 years,X,Main Library,September,2014,p,phone,false,2014,true,
0,ADULT,436,443,35 to 44 years,X,Main Library,January,2016,z,email,true,2009,true,
0,ADULT,19,9,35 to 44 years,X,Main Library,December,2015,z,email,true,2008,false,3
0,ADULT,4,6,25 to 34 years,X,Main Library,November,2015,z,email,true,2012,false,
3,SENIOR,20,4,65 to 74 years,N6,North Beach,March,2014,z,email,true,2005,false,3
3,SENIOR,77,6,65 to 74 years,X,Main Library,June,2013,a,print,false,2007,true,
0,ADULT,29,10,55 to 59 years,X,Main Library,August,2015,p,phone,false,2003,true,
0,ADULT,83,99,25 to 34 years,X,Main Library,July,2013,z,email,true,2008,false,4
0,ADULT,2,0,20 to 24 years,W4,Western Addition,September,2014,z,email,true,2011,false,10
0,ADULT,1,0,45 to 54 years,M6,Mission,September,2014,p,phone,false,2012,false,10
4,WELCOME,0,0,20 to 24 years,X,Main Library,March,2014,z,email,true,2014,false,6
0,ADULT,0,0,25 to 34 years,P7,Potrero,None,None,z,email,true,2014,false,9
0,ADULT,0,0,25 to 34 years,P7,Potrero,None,None,z,email,true,2014,false,9
0,ADULT,39,6,45 to 54 years,X,Main Library,March,2015,z,email,true,2014,false,6
0,ADULT,2,0,25 to 34 years,P3,Parkside,November,2014,z,email,true,2014,false,4
0,ADULT,386,270,45 to 54 years,I5,Ingleside,October,2014,z,email,true,2003,false,7
0,ADULT,14,0,55 to 59 years,X,Main Library,September,2013,z,email,true,2009,false,6
0,ADULT,68,41,60 to 64 years,S7,Sunset,July,2016,z,email,true,2015,false,5
3,SENIOR,18,7,65 to 74 years,P9,Presidio,August,2015,z,email,true,2008,false,2
0,ADULT,4,0,35 to 44 years,W2,West Portal,April,2015,z,email,true,2015,true,
0,ADULT,206,222,35 to 44 years,P1,Park,July,2016,z,email,true,2003,false,1
0,ADULT,27,2,25 to 34 years,X,Main Library,May,2013,p,phone,false,2013,true,
4,WELCOME,9,0,25 to 34 years,X,Main Library,December,2014,z,email,true,2014,false,
0,ADULT,208,44,20 to 24 years,X,Main Library,February,2016,p,phone,false,2008,false,6
0,ADULT,164,43,35 to 44 years,M6,Mission,January,2014,z,email,true,2005,false,8
0,ADULT,6,0,25 to 34 years,M2,Marina,April,2009,z,email,true,2008,false,2
0,ADULT,77,1,20 to 24 years,P5,Portola,October,2013,z,email,true,2009,false,10
0,ADULT,1,1,20 to 24 years,M4,Merced,January,2016,z,email,true,2015,true,
0,ADULT,1,1,20 to 24 years,M4,Merced,January,2016,z,email,true,2015,true,
3,SENIOR,1,0,65 to 74 years,W2,West Portal,April,2014,z,email,true,2014,false,7
0,ADULT,169,81,35 to 44 years,N4,Noe Valley/Sally Brunn,May,2016,z,email,true,2010,false,8
3,SENIOR,972,281,65 to 74 years,A5,Anza,July,2016,z,email,true,2006,false,
3,SENIOR,2,0,65 to 74 years,X,Main Library,October,2012,a,print,false,2012,false,
0,ADULT,15,24,25 to 34 years,X,Main Library,October,2015,z,email,true,2010,true,
0,ADULT,36,0,55 to 59 years,X,Main Library,February,2015,z,email,true,2013,false,6
0,ADULT,13,18,25 to 34 years,N6,North Beach,July,2015,z,email,true,2014,false,
0,ADULT,23,4,45 to 54 years,M6,Mission,July,2016,p,phone,true,2016,false,9
0,ADULT,435,221,45 to 54 years,G4,Glen Park,June,2016,z,email,true,2003,false,7
0,ADULT,262,304,25 to 34 years,X,Main Library,June,2016,z,email,true,2003,false,8
4,WELCOME,0,0,20 to 24 years,M2,Marina,None,None,z,email,true,2014,false,2
0,ADULT,9,8,35 to 44 years,P7,Potrero,December,2013,p,phone,true,2013,false,
0,ADULT,273,216,35 to 44 years,M8,Mission Bay,July,2016,z,email,true,2010,false,6
0,ADULT,32,2,45 to 54 years,X,Main Library,May,2014,p,phone,false,2003,false,8
0,ADULT,12,19,25 to 34 years,W4,Western Addition,January,2016,p,phone,true,2011,false,8
0,ADULT,1,2,35 to 44 years,X,Main Library,June,2016,a,print,false,2016,true,
0,ADULT,0,0,35 to 44 years,S7,Sunset,None,None,z,email,true,2015,false,2
3,SENIOR,41,0,65 to 74 years,P5,Portola,June,2015,z,email,true,2013,false,9
0,ADULT,218,52,35 to 44 years,S7,Sunset,July,2013,z,email,true,2009,false,4
0,ADULT,109,194,35 to 44 years,N4,Noe Valley/Sally Brunn,June,2016,z,email,true,2008,false,7
0,ADULT,218,8,25 to 34 years,C2,Chinatown,July,2013,p,phone,false,2010,false,3
3,SENIOR,32,0,65 to 74 years,X,Main Library,May,2014,a,print,false,2010,false,6
0,ADULT,369,184,45 to 54 years,W2,West Portal,July,2016,z,email,true,2003,false,7
0,ADULT,8,0,25 to 34 years,X,Main Library,July,2016,z,email,true,2016,false,3
0,ADULT,8,0,25 to 34 years,X,Main Library,July,2016,z,email,true,2016,false,3
0,ADULT,0,0,45 to 54 years,P3,Parkside,None,None,z,email,true,2016,true,
0,ADULT,0,0,45 to 54 years,P3,Parkside,None,None,z,email,true,2016,true,
0,ADULT,0,0,45 to 54 years,P3,Parkside,None,None,z,email,true,2016,true,
0,ADULT,0,0,45 to 54 years,P3,Parkside,None,None,z,email,true,2016,true,
0,ADULT,3,0,35 to 44 years,R3,Richmond,June,2010,p,phone,false,2009,false,7
0,ADULT,117,160,45 to 54 years,X,Main Library,April,2016,z,email,true,2003,false,4
0,ADULT,224,81,45 to 54 years,B2,Bayview/Linda Brooks-Burton,July,2016,z,email,true,2010,false,10
16,DIGITAL ACCESS CARD,0,0,35 to 44 years,A5,Anza,None,None,z,email,true,2015,false,
0,ADULT,69,45,35 to 44 years,W4,Western Addition,April,2014,z,email,true,2008,true,
0,ADULT,1,0,35 to 44 years,M8,Mission Bay,December,2013,z,email,true,2013,false,6
0,ADULT,1,0,35 to 44 years,M8,Mission Bay,December,2013,z,email,true,2013,false,6
0,ADULT,22,0,60 to 64 years,N6,North Beach,March,2016,z,email,true,2014,false,3
0,ADULT,367,10,25 to 34 years,P5,Portola,March,2016,z,email,true,2004,false,10
0,ADULT,50,11,35 to 44 years,X,Main Library,June,2016,z,email,true,2003,false,
0,ADULT,49,29,45 to 54 years,X,Main Library,January,2016,p,phone,false,2008,false,6
0,ADULT,75,111,35 to 44 years,N4,Noe Valley/Sally Brunn,October,2015,z,email,true,2004,false,8
0,ADULT,305,62,25 to 34 years,E7,Eureka Valley/Harvey Milk Memorial,June,2016,z,email,true,2009,false,5
0,ADULT,530,521,45 to 54 years,M4,Merced,June,2016,z,email,true,2008,true,
0,ADULT,31,67,35 to 44 years,R3,Richmond,January,2014,z,email,true,2008,false,1
0,ADULT,33,0,20 to 24 years,P1,Park,July,2016,z,email,true,2016,false,5
0,ADULT,14,0,60 to 64 years,X,Main Library,November,2013,z,email,true,2003,false,
0,ADULT,29,8,35 to 44 years,X,Main Library,July,2016,z,email,true,2006,false,10
0,ADULT,179,64,25 to 34 years,R3,Richmond,January,2016,a,print,true,2003,false,1
0,ADULT,22,8,35 to 44 years,C2,Chinatown,December,2015,z,email,true,2009,true,
0,ADULT,7,0,55 to 59 years,X,Main Library,March,2012,z,email,true,2011,true,
0,ADULT,170,141,25 to 34 years,S7,Sunset,May,2015,z,email,true,2007,false,4
0,ADULT,22,13,20 to 24 years,R3,Richmond,July,2016,z,email,true,2016,false,2
0,ADULT,100,92,25 to 34 years,X,Main Library,August,2014,z,email,true,2010,false,1
0,ADULT,37,1,35 to 44 years,C2,Chinatown,November,2014,p,phone,false,2004,false,4
0,ADULT,3,4,25 to 34 years,R3,Richmond,August,2014,z,email,true,2014,false,1
0,ADULT,6,10,25 to 34 years,M4,Merced,June,2013,z,email,true,2012,false,7
0,ADULT,14,0,35 to 44 years,M2,Marina,May,2011,z,email,true,2009,false,2
0,ADULT,5,0,35 to 44 years,I5,Ingleside,April,2016,z,email,true,2016,false,8
0,ADULT,8,6,25 to 34 years,S7,Sunset,July,2013,z,email,true,2013,false,7
0,ADULT,0,0,20 to 24 years,X,Main Library,None,None,p,phone,false,2012,false,5
0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,true,2011,false,
0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,true,2011,false,
0,ADULT,52,4,45 to 54 years,M8,Mission Bay,March,2009,z,email,true,2003,false,10
0,ADULT,1,4,20 to 24 years,M6,Mission,February,2015,z,email,true,2014,false,9
0,ADULT,252,94,45 to 54 years,X,Main Library,May,2014,p,phone,false,2012,false,5
0,ADULT,31,34,25 to 34 years,M2,Marina,May,2016,z,email,true,2013,false,2
0,ADULT,279,73,25 to 34 years,R3,Richmond,October,2014,z,email,true,2013,false,
0,ADULT,4,0,55 to 59 years,X,Main Library,February,2016,a,print,false,2016,true,
0,ADULT,19,2,60 to 64 years,B4,Bernal Heights,April,2016,z,email,true,2012,false,9
3,SENIOR,20,6,65 to 74 years,E9,Excelsior,April,2015,z,email,true,2003,false,11
0,ADULT,46,43,25 to 34 years,C2,Chinatown,August,2015,z,email,true,2014,false,5
0,ADULT,6,6,45 to 54 years,X,Main Library,November,2015,p,phone,false,2015,false,4
0,ADULT,3,2,25 to 34 years,P3,Parkside,July,2016,z,email,true,2016,true,
0,ADULT,4,0,35 to 44 years,X,Main Library,October,2013,z,email,true,2013,false,5
0,ADULT,83,0,60 to 64 years,X,Main Library,January,2016,p,phone,false,2012,false,6
0,ADULT,32,1,25 to 34 years,C2,Chinatown,December,2014,p,phone,false,2014,false,11
0,ADULT,46,3,35 to 44 years,X,Main Library,February,2014,z,email,true,2013,true,
0,ADULT,31,8,25 to 34 years,I5,Ingleside,January,2014,z,email,true,2003,false,11
0,ADULT,5,0,25 to 34 years,V3,Visitacion Valley,September,2014,p,phone,false,2013,false,10
0,ADULT,157,27,45 to 54 years,X,Main Library,January,2016,z,email,true,2008,false,7
0,ADULT,18,11,25 to 34 years,G6,Golden Gate Valley,July,2016,z,email,true,2016,false,
0,ADULT,31,26,60 to 64 years,M2,Marina,March,2013,p,phone,true,2003,true,
0,ADULT,2,0,25 to 34 years,M2,Marina,August,2015,p,phone,true,2015,false,2
0,ADULT,736,182,60 to 64 years,M4,Merced,May,2016,z,email,true,2003,false,4
0,ADULT,838,206,60 to 64 years,M4,Merced,July,2016,z,email,true,2003,false,11
0,ADULT,61,34,25 to 34 years,C2,Chinatown,September,2015,p,phone,false,2003,false,3
0,ADULT,3056,2345,45 to 54 years,M2,Marina,July,2016,z,email,true,2007,false,2
0,ADULT,9,0,25 to 34 years,M6,Mission,September,2012,z,email,true,2011,false,9
0,ADULT,2,0,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,May,2014,z,email,true,2014,false,5
3,SENIOR,3,0,65 to 74 years,I5,Ingleside,June,2016,z,email,true,2016,false,7
3,SENIOR,18,2,65 to 74 years,X,Main Library,November,2015,z,email,true,2003,true,
0,ADULT,96,98,65 to 74 years,X,Main Library,February,2014,z,email,true,2006,true,
4,WELCOME,0,0,45 to 54 years,X,Main Library,August,2013,p,phone,false,2012,false,9
0,ADULT,1,0,25 to 34 years,S7,Sunset,February,2013,z,email,true,2012,false,4
0,ADULT,0,0,35 to 44 years,M4,Merced,None,None,z,email,true,2012,false,
0,ADULT,3,0,25 to 34 years,W4,Western Addition,September,2013,z,email,true,2011,false,5
0,ADULT,227,69,20 to 24 years,P3,Parkside,July,2016,z,email,true,2003,false,7
0,ADULT,26,14,35 to 44 years,X,Main Library,April,2015,z,email,true,2012,false,5
4,WELCOME,1,0,20 to 24 years,X,Main Library,January,2015,z,email,true,2014,false,7
0,ADULT,26,0,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,January,2015,z,email,true,2006,false,5
0,ADULT,109,122,35 to 44 years,X,Main Library,June,2015,z,email,true,2003,false,4
0,ADULT,2,0,45 to 54 years,G4,Glen Park,February,2016,z,email,true,2010,false,10
0,ADULT,1,0,55 to 59 years,X,Main Library,April,2015,z,email,true,2014,true,
0,ADULT,55,0,35 to 44 years,X,Main Library,January,2013,p,phone,false,2012,false,6
0,ADULT,353,55,55 to 59 years,X,Main Library,May,2016,z,email,true,2012,false,11
0,ADULT,3,0,45 to 54 years,A5,Anza,January,2015,z,email,true,2011,true,
0,ADULT,3,9,25 to 34 years,I5,Ingleside,August,2014,z,email,true,2014,false,
3,SENIOR,7,5,55 to 59 years,X,Main Library,June,2015,z,email,true,2014,true,
0,ADULT,1292,167,20 to 24 years,C2,Chinatown,July,2016,z,email,true,2003,true,
0,ADULT,22,35,20 to 24 years,E9,Excelsior,September,2015,z,email,true,2012,false,11
0,ADULT,16,0,25 to 34 years,P7,Potrero,June,2016,z,email,true,2014,false,9
0,ADULT,15,4,35 to 44 years,X,Main Library,July,2013,z,email,true,2008,false,
0,ADULT,2014,821,45 to 54 years,E9,Excelsior,July,2016,z,email,true,2003,false,11
0,ADULT,318,48,20 to 24 years,E9,Excelsior,June,2014,p,phone,false,2010,true,
3,SENIOR,63,11,65 to 74 years,E7,Eureka Valley/Harvey Milk Memorial,April,2016,z,email,true,2007,false,8
0,ADULT,13,0,45 to 54 years,N6,North Beach,April,2016,z,email,true,2004,false,3
0,ADULT,8,18,25 to 34 years,P5,Portola,December,2015,p,phone,true,2013,false,9
0,ADULT,375,116,35 to 44 years,M6,Mission,July,2016,z,email,true,2004,true,
0,ADULT,4,0,25 to 34 years,M2,Marina,April,2016,z,email,true,2016,false,5
0,ADULT,4,0,25 to 34 years,M2,Marina,April,2016,z,email,true,2016,false,5
0,ADULT,13,23,25 to 34 years,A5,Anza,October,2015,z,email,true,2011,false,1
0,ADULT,9,10,25 to 34 years,M8,Mission Bay,July,2016,z,email,true,2015,false,6
0,ADULT,0,0,25 to 34 years,P5,Portola,None,None,a,print,false,2013,false,9
0,ADULT,13,0,45 to 54 years,X,Main Library,May,2006,z,email,true,2006,false,
0,ADULT,521,5,60 to 64 years,E9,Excelsior,August,2015,p,phone,false,2010,false,6
0,ADULT,7,6,25 to 34 years,M8,Mission Bay,April,2015,z,email,true,2014,false,1
0,ADULT,26,6,45 to 54 years,S7,Sunset,April,2015,z,email,true,2008,false,5
0,ADULT,28,0,35 to 44 years,X,Main Library,December,2013,z,email,true,2003,false,
100,AT USER ADULT,6,11,25 to 34 years,X,Main Library,July,2016,z,email,true,2013,false,3
0,ADULT,2,3,25 to 34 years,X,Main Library,April,2013,z,email,true,2012,true,
0,ADULT,124,22,25 to 34 years,S7,Sunset,August,2013,z,email,true,2010,false,4
0,ADULT,3,1,35 to 44 years,X,Main Library,May,2009,z,email,true,2008,true,
0,ADULT,8,0,25 to 34 years,X,Main Library,June,2016,p,phone,false,2016,false,6
0,ADULT,0,0,60 to 64 years,R3,Richmond,None,None,z,email,true,2014,false,1
0,ADULT,0,0,60 to 64 years,R3,Richmond,None,None,z,email,true,2014,false,1
0,ADULT,0,0,60 to 64 years,R3,Richmond,None,None,z,email,true,2014,false,1
0,ADULT,0,0,60 to 64 years,R3,Richmond,None,None,z,email,true,2014,false,1
0,ADULT,0,0,60 to 64 years,R3,Richmond,None,None,z,email,true,2014,false,1
0,ADULT,0,0,60 to 64 years,R3,Richmond,None,None,z,email,true,2014,false,1
0,ADULT,14,0,55 to 59 years,B4,Bernal Heights,June,2005,a,print,false,2003,false,
0,ADULT,23,21,60 to 64 years,A5,Anza,May,2014,z,email,true,2012,false,1
0,ADULT,33,10,45 to 54 years,C2,Chinatown,September,2014,z,email,true,2009,true,
0,ADULT,0,0,20 to 24 years,X,Main Library,None,None,z,email,true,2016,false,11
0,ADULT,0,0,20 to 24 years,X,Main Library,None,None,z,email,true,2016,false,11
0,ADULT,0,0,20 to 24 years,X,Main Library,None,None,z,email,true,2016,false,11
0,ADULT,0,0,20 to 24 years,X,Main Library,None,None,z,email,true,2016,false,11
0,ADULT,0,0,20 to 24 years,X,Main Library,None,None,z,email,true,2016,false,11
0,ADULT,0,0,20 to 24 years,X,Main Library,None,None,z,email,true,2016,false,11
4,WELCOME,1,1,20 to 24 years,N4,Noe Valley/Sally Brunn,March,2016,z,email,true,2016,false,8
0,ADULT,15,0,45 to 54 years,X,Main Library,September,2011,p,phone,false,2009,false,1
0,ADULT,8,0,25 to 34 years,M6,Mission,June,2015,z,email,true,2009,false,10
0,ADULT,239,8,20 to 24 years,C2,Chinatown,March,2011,z,email,true,2005,false,9
0,ADULT,7,0,60 to 64 years,V3,Visitacion Valley,July,2013,z,email,true,2009,false,10
0,ADULT,519,443,60 to 64 years,I5,Ingleside,July,2016,z,email,true,2003,false,7
0,ADULT,8,0,20 to 24 years,V3,Visitacion Valley,October,2013,z,email,true,2012,false,10
4,WELCOME,3,0,25 to 34 years,E9,Excelsior,July,2015,p,phone,true,2015,false,11
0,ADULT,10,0,45 to 54 years,O7,Ortega,November,2015,z,email,true,2012,true,
0,ADULT,31,0,45 to 54 years,M6,Mission,May,2014,z,email,true,2003,false,11
0,ADULT,193,1,35 to 44 years,G6,Golden Gate Valley,June,2015,z,email,true,2011,false,2
0,ADULT,41,1,60 to 64 years,M8,Mission Bay,August,2013,p,phone,false,2009,false,11
0,ADULT,2420,219,20 to 24 years,C2,Chinatown,July,2014,p,phone,false,2003,false,3
0,ADULT,0,0,25 to 34 years,B4,Bernal Heights,January,2015,z,email,true,2014,false,8
16,DIGITAL ACCESS CARD,0,0,35 to 44 years,X,Main Library,June,2015,a,print,false,2015,true,
10,VISITOR,10,0,20 to 24 years,M8,Mission Bay,July,2016,z,email,true,2016,false,6
0,ADULT,16,0,20 to 24 years,M4,Merced,March,2007,z,email,true,2003,false,7
0,ADULT,27,16,35 to 44 years,P7,Potrero,March,2016,z,email,true,2010,false,10
0,ADULT,445,374,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,January,2015,z,email,true,2008,false,
0,ADULT,380,268,25 to 34 years,O7,Ortega,July,2016,z,email,true,2003,false,4
4,WELCOME,1,0,25 to 34 years,M6,Mission,August,2015,p,phone,true,2015,false,3
0,ADULT,645,69,35 to 44 years,X,Main Library,July,2016,z,email,true,2008,true,
0,ADULT,541,11,45 to 54 years,X,Main Library,March,2013,z,email,true,2012,false,
0,ADULT,1,0,35 to 44 years,X,Main Library,October,2015,z,email,true,2015,false,3
0,ADULT,1,0,35 to 44 years,X,Main Library,October,2015,z,email,true,2015,false,3
0,ADULT,179,49,20 to 24 years,E9,Excelsior,August,2014,z,email,true,2003,false,9
0,ADULT,82,67,35 to 44 years,X,Main Library,November,2015,z,email,true,2009,false,2
0,ADULT,21,21,25 to 34 years,S7,Sunset,June,2013,z,email,true,2011,false,4
0,ADULT,2,0,25 to 34 years,M6,Mission,March,2013,z,email,true,2012,false,9
0,ADULT,0,0,60 to 64 years,E9,Excelsior,February,2015,p,phone,false,2009,false,11
0,ADULT,64,16,35 to 44 years,P3,Parkside,July,2016,p,phone,false,2008,false,4
0,ADULT,10,5,45 to 54 years,X,Main Library,February,2014,z,email,true,2009,true,
4,WELCOME,1,0,20 to 24 years,X,Main Library,January,2016,z,email,true,2015,false,7
4,WELCOME,1,0,35 to 44 years,X,Main Library,March,2016,a,print,false,2015,true,
0,ADULT,60,137,25 to 34 years,M8,Mission Bay,September,2014,z,email,true,2011,true,
0,ADULT,117,171,45 to 54 years,S7,Sunset,June,2014,z,email,true,2003,false,4
0,ADULT,0,0,45 to 54 years,R3,Richmond,None,None,z,email,true,2014,false,2
0,ADULT,0,0,45 to 54 years,R3,Richmond,None,None,z,email,true,2014,false,2
0,ADULT,0,0,45 to 54 years,R3,Richmond,None,None,z,email,true,2014,false,2
0,ADULT,8,0,35 to 44 years,X,Main Library,March,2011,z,email,true,2009,false,
0,ADULT,2361,1945,25 to 34 years,P3,Parkside,July,2016,z,email,true,2007,true,
0,ADULT,41,33,25 to 34 years,R3,Richmond,June,2016,z,email,true,2012,false,1
0,ADULT,114,8,20 to 24 years,N6,North Beach,October,2013,p,phone,false,2012,false,9
0,ADULT,15,13,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2013,false,8
