Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
0,ADULT,6,0,35 to 44 years,X,Main Library,March,2014,z,email,true,2012,true,
0,ADULT,17,10,45 to 54 years,G4,Glen Park,February,2016,z,email,true,2003,false,8
0,ADULT,0,0,45 to 54 years,X,Main Library,December,2015,z,email,true,2013,true,
0,ADULT,0,0,35 to 44 years,P3,Parkside,None,None,z,email,true,2009,false,4
0,ADULT,41,0,25 to 34 years,X,Main Library,February,2012,a,print,false,2011,false,6
0,ADULT,186,126,25 to 34 years,I5,Ingleside,July,2016,z,email,true,2006,false,7
0,ADULT,306,62,35 to 44 years,P1,Park,July,2016,z,email,true,2006,false,5
0,ADULT,14,2,45 to 54 years,X,Main Library,May,2015,p,phone,false,2003,false,11
0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,a,print,false,2014,false,8
0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,a,print,false,2014,false,8
0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,a,print,false,2014,false,8
0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,a,print,false,2014,false,8
0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,a,print,false,2014,false,8
0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,a,print,false,2014,false,8
0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,a,print,false,2014,false,8
0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,a,print,false,2014,false,8
0,ADULT,1,0,25 to 34 years,X,Main Library,March,2013,z,email,true,2012,false,1
0,ADULT,1,3,45 to 54 years,X,Main Library,February,2014,z,email,true,2013,true,
0,ADULT,8,4,25 to 34 years,O7,Ortega,May,2016,z,email,true,2011,false,9
0,ADULT,23,6,35 to 44 years,W4,Western Addition,July,2015,z,email,true,2006,false,10
0,ADULT,0,0,45 to 54 years,M2,Marina,None,None,p,phone,false,2010,true,
4,WELCOME,1,0,20 to 24 years,P9,Presidio,July,2013,p,phone,false,2013,false,1
0,ADULT,35,2,55 to 59 years,V3,Visitacion Valley,August,2007,p,phone,false,2007,false,10
0,ADULT,9,8,35 to 44 years,X,Main Library,May,2013,z,email,true,2011,true,
0,ADULT,12,28,35 to 44 years,M6,Mission,July,2016,z,email,true,2013,false,9
0,ADULT,5,0,25 to 34 years,S7,Sunset,December,2013,z,email,true,2013,false,7
0,ADULT,272,84,35 to 44 years,M6,Mission,July,2016,z,email,true,2003,false,
0,ADULT,14,15,25 to 34 years,X,Main Library,May,2016,z,email,true,2013,false,3
0,ADULT,175,159,35 to 44 years,G4,Glen Park,April,2013,z,email,true,2003,false,7
0,ADULT,16,14,25 to 34 years,N6,North Beach,October,2014,z,email,true,2011,false,2
0,ADULT,29,0,25 to 34 years,C2,Chinatown,July,2014,z,email,true,2012,false,3
0,ADULT,51,4,20 to 24 years,M6,Mission,July,2016,z,email,true,2016,false,8
0,ADULT,3,4,25 to 34 years,M6,Mission,July,2015,z,email,true,2014,false,9
0,ADULT,4,0,35 to 44 years,X,Main Library,February,2015,z,email,true,2014,false,4
0,ADULT,49,99,45 to 54 years,X,Main Library,February,2016,z,email,true,2003,false,
0,ADULT,32,17,25 to 34 years,E7,Eureka Valley/Harvey Milk Memorial,May,2016,z,email,true,2015,true,
0,ADULT,638,280,45 to 54 years,P3,Parkside,July,2016,z,email,true,2012,false,4
0,ADULT,38,4,60 to 64 years,A5,Anza,December,2014,z,email,true,2007,false,2
0,ADULT,4,2,35 to 44 years,G4,Glen Park,April,2008,z,email,true,2007,true,
0,ADULT,456,255,60 to 64 years,X,Main Library,June,2016,a,print,false,2008,false,6
0,ADULT,3,0,55 to 59 years,S7,Sunset,December,2012,a,print,false,2012,false,
0,ADULT,75,54,25 to 34 years,X,Main Library,July,2016,z,email,true,2015,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N4,Noe Valley/Sally Brunn,None,None,z,email,true,2014,false,8
0,ADULT,69,21,35 to 44 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2016,false,8
0,ADULT,5,10,25 to 34 years,I5,Ingleside,March,2014,z,email,true,2013,true,
0,ADULT,35,15,25 to 34 years,S7,Sunset,July,2010,z,email,true,2010,false,
0,ADULT,5,0,45 to 54 years,N6,North Beach,February,2016,z,email,true,2016,false,2
0,ADULT,0,0,20 to 24 years,M6,Mission,None,None,p,phone,false,2013,false,8
0,ADULT,4,9,20 to 24 years,X,Main Library,July,2016,z,email,true,2015,true,
0,ADULT,1,5,25 to 34 years,X,Main Library,May,2013,z,email,true,2012,false,3
0,ADULT,3,0,20 to 24 years,R3,Richmond,April,2016,z,email,true,2016,false,1
0,ADULT,5,0,25 to 34 years,X,Main Library,September,2013,z,email,true,2013,false,10
0,ADULT,50,71,60 to 64 years,S7,Sunset,May,2014,z,email,true,2003,false,4
